SKU,"ERP Product Ref","Created Date",Status,Message
HD-RHBATNS40(ZL),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATDIN55,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATNS60(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATDIN66,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATDIN88,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATDIN100,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATN120L,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT115D31(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT105D31(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT55D23(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT80D26(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT105D31R,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT55D231R,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT80D26R,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
YT-SM-G1700235ST1L,REF-ITEM000000003399,"2021/02/11 09:20: AM",Sucess,Updated
YT-SM-G1500225ST3L,REF-ITEM000000003400,"2021/02/11 09:20: AM",Sucess,Updated
YT-SUMS18514SL720,REF-ITEM000000003401,"2021/02/11 09:20: AM",Sucess,Updated
YT-ROA1200035683,REF-ITEM000000003402,"2021/02/11 09:20: AM",Sucess,Updated
YT-ROA1200036698,REF-ITEM000000003403,"2021/02/11 09:20: AM",Sucess,Updated
YT-ROA1200033434,REF-ITEM000000003404,"2021/02/11 09:20: AM",Sucess,Updated
YT-PIR-P3153021PZ4N09,N/A,"2021/02/11 09:20: AM",Failed,"The length of the string is 21, but it must be less than or equal to 20 characters. Value: YT-PIR-P3153021PZ4N09"
YT-PIR-P3153021PZ4N09-20,N/A,"2021/02/11 09:20: AM",Failed,"The length of the string is 24, but it must be less than or equal to 20 characters. Value: YT-PIR-P3153021PZ4N09-20"
YT-PIR1200031593-20,REF-ITEM000000003405,"2021/02/11 09:20: AM",Sucess,Updated
YT-PIR-3184-2020,REF-ITEM000000003406,"2021/02/11 09:20: AM",Sucess,Updated
YT-PIR1200038540-2020,N/A,"2021/02/11 09:20: AM",Failed,"The length of the string is 21, but it must be less than or equal to 20 characters. Value: YT-PIR1200038540-2020"
YT-PIR-1196,REF-ITEM000000003407,"2021/02/11 09:20: AM",Sucess,Updated
YT-PIR1200011941-20,REF-ITEM000000003408,"2021/02/11 09:20: AM",Sucess,Updated
YT-PIR1200023592-2020,N/A,"2021/02/11 09:20: AM",Failed,"The length of the string is 21, but it must be less than or equal to 20 characters. Value: YT-PIR1200023592-2020"
YT-PIR1200011943-ZNQ,REF-ITEM000000003409,"2021/02/11 09:20: AM",Sucess,Updated
YT-PIR-19801,REF-ITEM000000003410,"2021/02/11 09:20: AM",Sucess,Updated
YT-PIR1200024105-20,REF-ITEM000000003411,"2021/02/11 09:20: AM",Sucess,Updated
YT-MIC651885,REF-ITEM000000003412,"2021/02/11 09:20: AM",Sucess,Updated
YT-MIC-M2853020CUP29,REF-ITEM000000003413,"2021/02/11 09:20: AM",Sucess,Updated
